"","site","perm_Pvalue","real_n","boot_n"
"1","Argentina_ElPalmar",0.03125,3,3
"2","Argentina_ML",0.03125,5,1
"3","Argentina_RMcI84",0.03125,5,1
"4","Argentina_S1",0.03125,3,3
"5","Argentina_S10",0.03125,3,3
"6","Argentina_S11",0.0625,3,3
"7","Argentina_S12",0.03125,3,3
"8","Argentina_S13",0.03125,3,3
"9","Argentina_S14",0.03125,3,3
"10","Argentina_S15",0.03125,3,3
"11","Argentina_S16",0.03125,3,3
"12","Argentina_S17",0.03125,3,3
"13","Argentina_S18",0.03125,3,3
"14","Argentina_S19",0.03125,3,3
"15","Argentina_S2",0.0625,3,3
"16","Argentina_S20",0.03125,3,3
"17","Argentina_S21",0.03125,3,3
"18","Argentina_S22",0.03125,3,3
"19","Argentina_S3",0.03125,3,3
"20","Argentina_S4",0.03125,3,3
"21","Argentina_S5",0.03125,3,3
"22","Argentina_S6",0.03125,3,3
"23","Argentina_S7",0.03125,3,3
"24","Argentina_S8",0.0625,3,3
"25","Argentina_S9",0.03125,3,3
"26","Argentina_Sierra",0.03125,3,3
"27","AUS_Ag_Biod",0.09375,6,0
"28","AUS_Berry",0.03125,5,1
"29","AUS_Birregurra",0.03125,3,3
"30","AUS_Darlington",0.03125,3,3
"31","AUS_FowlersGap",0.03125,3,3
"32","AUS_Hamilton",0.03125,3,3
"33","AUS_Savernake",0.4375,7,0
"34","AUS_Wapweelah",0.03125,3,3
"35","AUS_Yathong_large",0.03125,3,3
"36","AUS_Yathong_small",0.001,22,0
"37","California_RanchoMarino",0.125,5,1
"38","California_Sedgwick",0.03125,3,3
"39","California_Sedgwick_Airstrip",0.03125,4,2
"40","California_Sedgwick_Lisque",0.25,7,0
"41","California_Sedgwick_Mesa",0.03125,4,2
"42","CanaryIsland_Anaga",0.03125,4,2
"43","CanaryIsland_Teno",0.34375,8,0
"44","CanaryIsland_Valle",0.65625,5,1
"45","CedarCreek",0.1875,6,0
"46","CPER",0.001,17,0
"47","DesertHigh",0.09375,3,3
"48","DesertLow",0.0625,3,3
"49","DesertSage",0.03125,3,3
"50","FortKeogh",0.0625,4,2
"51","France_Heath",0.03125,3,3
"52","France_Mesic",0.03125,3,3
"53","France_Xeric",0.03125,3,3
"54","Germany2",0.003,14,0
"55","India_Kibber",0.01,24,0
"56","India_Nutnet",0.03125,3,3
"57","Junner Koeland",0.03125,5,1
"58","Kenya_Central",0.03125,3,3
"59","Kenya_North",0.03125,3,3
"60","Kenya_South",0.03125,3,3
"61","KLEE_cattle",0.03125,3,3
"62","KLEE_wildlife",0.03125,3,3
"63","Konza",0.03125,3,3
"64","KonzaPrairie",0.03125,3,3
"65","KRNP_Lammertjiesleegte",0.0625,4,2
"66","KRNP_Sandrivier",0.09375,4,2
"67","Kruger_Buff",0.428,21,0
"68","Kruger_Marheya",0.265625,7,0
"69","Kruger_Nwan",0.015625,7,0
"70","Kruger_Satara",0.640625,7,0
"71","Lapland_Jehkas",0.03125,3,3
"72","Lapland_Saana",0.03125,3,3
"73","MAERC",0.03125,4,2
"74","Mali_Korokodjo",0.03125,4,2
"75","Mali_Lakamane",0.03125,4,2
"76","Mali_Neguela",0.03125,4,2
"77","Mali_Tiendaga",0.03125,4,2
"78","Mali_Tiorola",0.03125,4,2
"79","Mananga_High",0.03125,4,2
"80","Mananga_Low",0.09375,5,1
"81","MNP_30",0.03125,3,3
"82","Mongolia_BGgrassland",0.0625,4,2
"83","Mongolia_Mgshrubland",0.03125,3,3
"84","Mpala",0.03125,3,3
"85","N_Pryor",0.03125,4,2
"86","N_Spring",0.09375,5,1
"87","N_Sulphur",0.3125,5,1
"88","Pniel",0.0625,3,3
"89","Serengeti_Nutnet",0.0625,3,3
"90","SGS",0.03125,3,3
"91","Spain_ChapineriaHP",0.03125,5,1
"92","Spain_ChapineriaLP",0.03125,5,1
"93","SwissNP_Short",0.25390625,9,0
"94","SwissNP_Tall",0.6015625,9,0
"95","Tierber_Karoo_Research_Centre",0.90625,7,0
"96","Washington_Sinlahekin",0.03125,3,3
